Epoch, Train Loss, Train Acc, Val Loss, Val Acc
367, 0.1680, 0.9505, 2.3695, 0.5875
368, 0.1537, 0.9523, 2.2204, 0.6010
369, 0.1405, 0.9599, 2.3506, 0.5871
370, 0.1412, 0.9596, 2.2457, 0.5852
371, 0.1491, 0.9571, 2.3581, 0.5792
372, 0.1484, 0.9581, 2.2404, 0.5957
373, 0.1456, 0.9552, 2.4254, 0.5826
374, 0.1498, 0.9545, 2.3149, 0.5781
375, 0.1627, 0.9514, 2.6440, 0.5432
376, 0.1539, 0.9528, 2.3102, 0.5732
377, 0.1698, 0.9486, 2.3275, 0.5781
378, 0.1455, 0.9577, 2.3195, 0.5773
379, 0.1456, 0.9593, 2.3126, 0.5826
380, 0.1549, 0.9539, 2.4160, 0.5837
381, 0.1656, 0.9481, 2.3632, 0.5788
382, 0.1402, 0.9585, 2.3095, 0.5848
383, 0.1491, 0.9535, 2.3989, 0.5743
384, 0.1447, 0.9564, 2.4352, 0.5826
385, 0.1509, 0.9554, 2.4958, 0.5739
386, 0.1624, 0.9500, 2.3192, 0.5886
387, 0.1547, 0.9563, 2.2924, 0.5860
388, 0.1541, 0.9565, 2.3615, 0.5931
389, 0.1488, 0.9554, 2.3015, 0.5935
390, 0.1429, 0.9577, 2.3628, 0.5830
391, 0.1451, 0.9581, 2.2238, 0.6021
392, 0.1419, 0.9581, 3.9145, 0.4782
393, 0.1436, 0.9592, 2.2920, 0.5905
394, 0.1338, 0.9629, 2.3115, 0.5998
395, 0.1657, 0.9504, 2.4287, 0.5694
396, 0.1438, 0.9581, 2.3121, 0.6021
397, 0.1407, 0.9588, 2.2199, 0.6047
398, 0.1437, 0.9568, 2.4391, 0.5875
399, 0.1418, 0.9583, 2.3592, 0.5935
400, 0.1593, 0.9521, 2.4529, 0.5890
401, 0.1597, 0.9542, 2.3805, 0.5968
402, 0.1572, 0.9520, 2.4418, 0.5796
403, 0.1324, 0.9589, 2.3468, 0.6074
404, 0.1408, 0.9579, 2.2713, 0.5953
405, 0.1269, 0.9619, 2.2531, 0.6014
406, 0.1122, 0.9689, 2.3211, 0.5905
407, 0.1162, 0.9675, 2.3678, 0.6130
408, 0.1145, 0.9671, 2.2018, 0.6111
409, 0.1214, 0.9657, 2.3977, 0.5953
410, 0.1247, 0.9658, 2.3372, 0.6167
411, 0.1149, 0.9682, 5.1101, 0.4384
412, 0.1002, 0.9729, 2.2891, 0.6066
413, 0.1093, 0.9681, 2.2946, 0.6111
414, 0.1190, 0.9652, 2.3220, 0.6092
415, 0.1216, 0.9640, 2.2256, 0.6025
416, 0.1180, 0.9663, 2.2212, 0.6145
417, 0.1138, 0.9676, 2.2873, 0.6096
418, 0.1164, 0.9658, 2.3697, 0.5961
419, 0.1333, 0.9606, 2.4415, 0.5961
420, 0.1361, 0.9611, 2.3077, 0.6010
421, 0.1395, 0.9570, 2.4122, 0.6014
422, 0.1547, 0.9529, 2.3879, 0.5938
423, 0.1618, 0.9504, 2.2664, 0.5983
424, 0.1577, 0.9525, 2.3224, 0.5953
425, 0.1438, 0.9569, 2.1882, 0.6126
426, 0.1386, 0.9585, 2.3147, 0.6059
427, 0.1384, 0.9581, 2.3296, 0.6047
428, 0.1269, 0.9622, 3.3151, 0.5732
429, 0.1208, 0.9630, 2.3744, 0.6036
430, 0.1255, 0.9639, 2.2339, 0.6212
431, 0.1335, 0.9602, 2.2108, 0.6100
432, 0.1403, 0.9589, 2.2852, 0.6089
433, 0.1240, 0.9638, 2.6140, 0.5860
434, 0.1119, 0.9670, 2.3257, 0.6051
435, 0.0989, 0.9711, 2.1424, 0.6145
436, 0.1097, 0.9684, 2.3096, 0.5912
437, 0.1151, 0.9663, 2.1946, 0.6152
438, 0.1174, 0.9667, 28.4884, 0.1321
439, 0.1200, 0.9650, 2.2633, 0.6092
440, 0.1290, 0.9613, 2.1995, 0.6220
441, 0.1141, 0.9675, 2.2581, 0.6186
442, 0.1129, 0.9679, 2.3144, 0.6085
443, 0.1220, 0.9643, 2.2169, 0.6160
444, 0.1266, 0.9601, 2.6119, 0.5946
